key,value,timestamp,topic,partition,offset
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 9.266e-05, ""timestamp"": ""2024-12-06T17:52:52.836343Z"", ""timestamp_ms"": 1733503972836}",1733507574608,trades,0,39488
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95799.9, ""volume"": 0.00104396, ""timestamp"": ""2024-12-06T17:52:52.845904Z"", ""timestamp_ms"": 1733503972845}",1733507574618,trades,0,39489
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.31, ""volume"": 1.51666322, ""timestamp"": ""2024-12-06T17:52:53.059362Z"", ""timestamp_ms"": 1733503973059}",1733507574850,trades,0,39490
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.31, ""volume"": 0.5726831, ""timestamp"": ""2024-12-06T17:52:53.059362Z"", ""timestamp_ms"": 1733503973059}",1733507574850,trades,0,39491
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95799.9, ""volume"": 0.00052896, ""timestamp"": ""2024-12-06T17:52:55.170508Z"", ""timestamp_ms"": 1733503975170}",1733507577136,trades,0,39492
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 0.00040734, ""timestamp"": ""2024-12-06T17:52:55.909072Z"", ""timestamp_ms"": 1733503975909}",1733507577947,trades,0,39493
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95800.0, ""volume"": 0.13457741, ""timestamp"": ""2024-12-06T17:52:56.011458Z"", ""timestamp_ms"": 1733503976011}",1733507578066,trades,0,39494
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95810.0, ""volume"": 0.019, ""timestamp"": ""2024-12-06T17:52:56.193268Z"", ""timestamp_ms"": 1733503976193}",1733507578284,trades,0,39495
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101129.4, ""volume"": 0.00391954, ""timestamp"": ""2024-12-06T17:52:56.268283Z"", ""timestamp_ms"": 1733503976268}",1733507578370,trades,0,39496
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101133.0, ""volume"": 0.45608046, ""timestamp"": ""2024-12-06T17:52:56.268283Z"", ""timestamp_ms"": 1733503976268}",1733507578370,trades,0,39497
